Name,Mmax,Instruments/Bands,Type,Phot.,Spec.
SN2007hb,-14.2,"B, V, r', i'",Ic,23,2
OGLE15vk,-20,I,Ic,24,1
SN2000C,-19,"C, V, R",Ic,25,3
SN1987M,-15,"B, V, R",Ic,25,5
OGLE-2013-SN-091,-20,I,Ic,27,1
PS1-10awh,-22.3,"NUV, y, g, r, i, z",Ic,31,3
OGLE-2013-SN-134,-17,I,Ic,32,1
OGLE15rb,-16,I,Ic,33,1
SN1983I,-16,"U, B, V",Ic,40,
SN2005kf,,"B, V, r', i'",Ic,42,5
SN2000cr,-18,R,Ic,43,2
SN2007rz,-15,"B, V, r', i'",Ic,43,2
SN2004fe,-17,"B, V, r', R, i'",Ic,46,13
OGLE-2014-SN-067,-18.6,I,Ic,49,1
SN2005ek,-15.431,"UVOT (W2, W1, M2, U, B, V), Ks, J, H",Ic,54,8
SN2005kz,-16,"B, V, r', R, i'",Ic,56,
LSQ14bdq,-22,"g, r, i, z",Ic,60,3
PS15cyo,-16,"w, y, g, r, i, z",Ic,60,1
SN1964L,-18,"B, V",Ic,62,1
SN2006ck,-15.6,"B, V, r', R, i'",Ic,69,9
SN2012il,-21.3,"C, g, r, i, z",Ic,70,7
SN2007ms,-18,"u', g', r', z'",Ic,73,3
SN2007cl,-16.7,"B, V, r', i'",Ic,81,1
SN2005fk,-19.1932,"u', g', r', i', z'",Ic,83,
SN2013dg,-20.74,"C, g, r, i, z",Ic,83,7
SN2011kf,-21.9,"C, g, r, i, z",Ic,85,2
SN2007qx,-18.043,"u', g', r', i', z'",Ic,90,1
SN2007qv,-20.133,"C, u', g', r', i', z'",Ic,94,
SN2005ks,-18.468,"u', g', r', i', z'",Ic,95,
SN1990B,-14,"B, V, R, I",Ic,96,22
SN2004dn,-15.1,"B, V, R, I",Ic,105,5
SN2006fe,-17.742,"u', g', r', i', z'",Ic,110,1
SN2004gt,-13,"Ks, B, V, r', R, i', J, H",Ic,115,14
SN2005kr,-19.1,"u', g', r', i', z'",Ic,116,
SN2005em,-18.2,"u', g', r', i', z'",Ic,121,
SN2006nx,-19.1,"u', g', r', i', z'",Ic,127,3
SN2007bi,-20.13,"B, V, R, I",Ic,136,3
SN1962L,-15,"pg, U, B, V",Ic,154,1
SN2005az,-15,"Ks, B, V, r', R, i', J, H",Ic,160,22
SDSS-II SN 14475,-18.6091,"u', g', r', i', z'",Ic,185,
SN2005kl,-12,"Ks, B, V, r', i', J, H",Ic,202,6
SN2005mf,-16.51,"Ks, U, B, V, r', R, i', J, H",Ic,211,4
PTF12gzk,-18.41,"UVOT (W2, W1, M2, U, B, V), C, Z, B, g, V, r, R, i, I, Y, J, H, K",Ic,213,53
SN2004aw,-16,"U, B, V, R, I",Ic,259,35
SN2013ge,-16.07,"CAO (B, V, R, I), FLWO (B, V), IMACS (r), LBT (r, i), MMTCam (r, i, z), UVOT (W2, W1, M2, U, B, V)",Ic,266,38
SN2004gk,-16,"Ks, B, V, r', R, i', I, J, H",Ic,274,32
SN2011bm,-18,"u', U, B, g', V, r', R, i', I, z'",Ic,310,17
SN1994I,-15,"U, B, V, R, I",Ic,373,43
SN2015bn,-22.1,"UVOT (W2, W1, M2, U, B, V), C, w, u, B, g, V, r, R, i, I, z, J, H, K",Ic,551,28
SN2007gr,-20,"Ks, U, B, V, r', R, i', I, J, H",Ic,767,31
SN2010ay,-20,"C, R",Ic BL,7,2
SN2013cq,-19.21,r',Ic BL,16,1
SN2012ap,-16.03,"UVOT (W2, W1, M2, U, B, V)",Ic BL,31,15
SN2003jd,-18,"B, V, R, I",Ic BL,62,25
SN2007bg,-17,"UVOT (W2, W1, M2, U, B, V), VLA, B, V, r', R, i', I",Ic BL,62,1
SN2007ru,-17.6,"B, V, r', i'",Ic BL,71,3
SN1997ef,-16.16,"C, B, V, R",Ic BL,73,37
SN2007ce,-18,"Ks, B, V, r', i', J, H",Ic BL,81,10
SN2007D,-17,"UVOT (W1, B, V), Ks, B, V, r', R, i', J, H",Ic BL,81,1
SN2005nb,-16,"U, B, V, r', R, i'",Ic BL,122,1
SN2007I,-15.911,"UVOT (W1, B, V), Ks, B, V, r', i', J, H",Ic BL,183,6
SN2009bb,-16.3,"RetroCam (Y, J, H), UVOT (W2, W1, M2, U, B, V), B, V, R, I",Ic BL,234,11
SN2006aj,-18.258,"UVOT (W2, W1, M2, U, B, V), Ks, U, B, V, r', i', J, H",Ic BL,424,45
SN1998bw,-19,"C, U, B, V, R, I",Ic BL,527,31
SN2002ap,-15,"C, U, B, V, R, I",Ic BL,1782,39
SN2003dh,-24.97,"CTIO 1.3m (B, V, I), Dupont (B), FLWO (B, V, R, I), KAIT (B, V, R, I), KPNO4m (B, R), Kyoto (R), LCO (B, V, I), LCO-40 (R), MDM 1.3m+2.4m+SITe (B, V, R, I), Magellan2 (R), Mt. Laguna 1m+Loral (B, V, R, I), Palomar 1.5m+Norris (I), RTT (B, V, R, I), SSO 1m+WFI (B, V, R, I), Wise 1m+SITe (B, V, R), Wise 1m+Tek (B, V, R, I)",Ic BL,2687,13
OGLE15xx,-22,I,Ic Pec,33,1
SN2012hn,-13,"Z, U, B, g', V, r', R, i', I, z'",Ic Pec,151,9
LSQ12dlf,-21,"U, B, V, r, R, I",Ic Pec?,241,18
SN2007iq,-14,"B, V, r', i'",Ic/Ic-bl,146,1
SN2002eg,-18,"C, R",II,10,
SN2009gj,-14,"UVOT (W2, W1, M2, U, B, V)",II,13,
SN2009K,-15,"B, V, r', i'",II,16,
SN2006ba,-15,"B, V, r', i'",II,30,1
SN2009mk,-10,"UVOT (W2, W1, M2, U, B, V)",II,41,
