SNname,Type,source,E(B-V) SF2011,finalmaxVjd,finalmaxVjderr,CfA VJD bootstrap,CfA VJD bootstrap error,CfA BJD bootstrap,CfA BJD error,CfA RJD bootstrap,CfA RJD error,CfA IJD bootstrap,CfA IJD error,D11Vmaxdate,D11Vmaxdateerr,MaxVdate,MaxVJD,Vmax_CfAmethod,Vmax_CfAmethod_err,MaxVMag,MaxVmagerr,luminosity distance Mpc,comment
sn2007ce,Ic-bl,,0.02,,,<2454226.73,--,<0000000,<0000000,<0000000,<0000000,54226.61,0.38,,,<20070506.0,<2454226.7,,,<17.4,,205.4927029,
sn2007cl,Ic,,0.037,2454250.85,1,2454250.85,1,<0000000,<0000000,54254.09,0.13,<0000000,<0000000,,,20070531,2454251.9,,,17.8,,96.67352957,
sn2007D,Ic-bl,,0.2881,2454123.31,0.83,2454123.31,0.83,<0000000,<0000000, ../CfA,1.91,<0000000,<0000000,,,20070123.1,2454123.6,,,18.4,,101.0079426,
sn2007gr,Ic,,0.0535,2454339.32,0.27,2454339.32,0.27,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,54338,1.1,20070826,2454338.5,,,13.47,,7.454121634,;
sn2007hb,Ic,,0.0518,,,<2454363.85,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<2007,<2454363.85,,,<19.3,,96.95653969,
sn2007I,Ic-bl,,0.025,,,<2454117.95,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<20070117,<2454117.,,,<17.89,,94.26967645,
sn2007iq,Ic/Ic-bl,,0.1182,,,<2454363.94,--,,,<0000000,<0000000,<0000000,<0000000,,,<2007,<2454363.9,,,<18.1,,57.82561842,
sn2007ke,Ib-Ca-rich,,0.0954,,,<0000000,--,<0000000,<0000000,54371.19,2.68,<0000000,<0000000,,,--,<00000000,,,--,,77.6,
sn2007kj,Ib,,0.0691,2454382.46,0.11,2454382.46,0.11,54378.42,0.83,54383.39,0.33,<0000000,<0000000,,,20071007.7,2454382.1,,,17.61,,77.76476543,
sn2007ms,Ic,lit,,,,,,,,2454386.33,0.23,,,,,,,,,,,,
